标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
视觉设计专员（AI+视频方向）,https://jobs.51job.com/guangzhou-thq/171692305.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,6-8千·13薪,南宁润云智算科技,,民营,少于50人,,2026-05-14 19:20:39
研发工程师,https://jobs.51job.com/wuhan-qkq/171691803.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-1.4万,湖北楚英人才发展,,国企,少于50人,,2026-05-14 19:20:39
视频拍摄剪辑师,https://jobs.51job.com/dongguan-qsz/158929900.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,5-7千,健达智能科技,,外资（非欧美）,1000-5000人,,2026-05-14 19:20:39
AI应用开发工程师(人力公司D）,https://jobs.51job.com/zhuhai-xzq/171686697.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.4-1.8万·13薪,珠海正圆控股,,国企,1000-5000人,,2026-05-14 19:20:39
品牌视觉设计师,https://jobs.51job.com/huizhou/170131344.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,6千-1万,澳宝化妆品（惠州）,,外资（非欧美）,1000-5000人,,2026-05-14 19:20:39
项目管理改善工程师,https://jobs.51job.com/guangzhou-nsq/171664996.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,18-26万/年,广汽丰田汽车,,合资,10000人以上,,2026-05-14 19:20:39
AI大模型算法工程师,https://jobs.51job.com/jinan-gxq/171388838.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-1.5万,青岛科汇电气,,已上市,500-1000人,,2026-05-14 19:20:39
AI应用专家（研发效能方向）,https://jobs.51job.com/shanghai-mhq/171660203.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,4-5万·15薪,奇瑞汽车,,国企,10000人以上,,2026-05-14 19:20:39
高级市场专员,https://jobs.51job.com/shanghai-mhq/171432004.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-1.6万·13薪,浙江轩田智能科技,,民营,150-500人,,2026-05-14 19:20:39
AI大模型算法工程师,https://jobs.51job.com/beijing-cyq/171655078.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2.5-3.5万·13薪,恩士迅信息科技（中国）,,合资,10000人以上,,2026-05-14 19:20:39
AI解决方案工程师,https://jobs.51job.com/kunming-whq/168072577.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万,云南立翔科技,,民营,50-150人,,2026-05-14 19:20:39
软件开发工程师（人工智能场景应用开发方向）,https://jobs.51job.com/nanjing-jyq/171651464.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,,江苏农村商业联合银行,,国企,10000人以上,,2026-05-14 19:20:39
人工智能开发工程师,https://jobs.51job.com/nanjing-jyq/169299140.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,,江苏农村商业联合银行,,国企,10000人以上,,2026-05-14 19:20:39
规划创新（大模型算法岗）(J11584),https://jobs.51job.com/nanjing-jyq/169590148.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万·16薪,利安人寿保险,,国企,1000-5000人,,2026-05-14 19:20:39
AI应用开发工程师,https://jobs.51job.com/guangzhou-pyq/171621868.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-1.8万,广东世宇科技,,民营,500-1000人,,2026-05-14 19:20:39
大模型算法工程师,https://jobs.51job.com/changsha/170789427.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2.2-3.2万·14薪,长沙景嘉微电子,,已上市,1000-5000人,,2026-05-14 19:20:39
AI工程师,https://jobs.51job.com/guangzhou/171619642.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2.5万,广州市浩洋电子,,已上市,1000-5000人,,2026-05-14 19:20:39
人工智能算法工程师,https://jobs.51job.com/kunming-xsq/159113798.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-1.5万,云南拓邦科技,,民营,50-150人,,2026-05-14 19:21:01
算法工程师（语言模型微调） (MJ002572),https://jobs.51job.com/shenzhen-nsq/171608133.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2.5-4万·14薪,极米科技,,民营,1000-5000人,,2026-05-14 19:21:01
大数据工程师,https://jobs.51job.com/shanghai/171607068.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-2.8万,上海联影医疗科技,,民营,5000-10000人,,2026-05-14 19:21:01
大模型应用开发工程师,https://jobs.51job.com/guangzhou-thq/162350026.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-1.8万,广州市云景信息科技,,民营,150-500人,,2026-05-14 19:21:01
全栈开发工程师,https://jobs.51job.com/guangzhou-thq/168162001.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-1.8万,广州市云景信息科技,,民营,150-500人,,2026-05-14 19:21:01
AI开发工程师,https://jobs.51job.com/shenzhen-nsq/171597540.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-2.3万,尖置企业管理（深圳）,,民营,少于50人,,2026-05-14 19:21:01
AI高级架构师,https://jobs.51job.com/shanghai-cnq/170035875.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,50-80万/年,东方有线网络,,国企,1000-5000人,,2026-05-14 19:21:01
AI开发工程师,https://jobs.51job.com/dongguan-cpz/171586918.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-2.2万,广东华创智能技术,,民营,150-500人,,2026-05-14 19:21:01
AI全栈应用工程师(浦东机场),https://jobs.51job.com/shanghai-pdxq/169102493.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.6-1.8万,唯凯国际物流,,民营,500-1000人,,2026-05-14 19:21:01
项目经理,https://jobs.51job.com/kunming-whq/171273380.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.2万,云南立翔科技,,民营,50-150人,,2026-05-14 19:21:01
FDE前沿部署工程师,https://jobs.51job.com/suzhou-hq/171570732.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2万·13薪,苏州晟成光伏设备,,已上市,1000-5000人,,2026-05-14 19:21:01
人工智能科学家 ID191677,https://jobs.51job.com/shanghai/171081990.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2.5-3.5万·13薪,马士基信息处理（成都）,,外资（欧美）,1000-5000人,,2026-05-14 19:21:01
后端开发工程师,https://jobs.51job.com/beijing-hdq/171553974.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2万,中国检验认证集团山东,,国企,1000-5000人,,2026-05-14 19:21:01
智能体开发工程师,https://jobs.51job.com/suzhou-wzq/171554514.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,9千-1.4万·14薪,苏州维信电子,,外资（欧美）,5000-10000人,,2026-05-14 19:21:01
后端开发工程师,https://jobs.51job.com/guangzhou-yxq/171553810.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2万,中国检验认证集团山东,,国企,1000-5000人,,2026-05-14 19:21:01
拼多多集团-大模型算法工程师（多模态/AI),https://jobs.51job.com/shanghai-cnq/171548654.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,4-6万·16薪,上海寻梦信息技术,,民营,10000人以上,,2026-05-14 19:21:01
大模型算法工程师,https://jobs.51job.com/changchun-cyq/170513618.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,25-40万/年,长春市馨予企业管理咨询,,民营,,,2026-05-14 19:21:01
算法工程师( AI智能体开发实习生）,https://jobs.51job.com/shenzhen-ftq/169811045.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,3千及以下,中电科新型智慧城市研究院,,国企,150-500人,,2026-05-14 19:21:01
AI算法/大模型工程师,https://jobs.51job.com/guangzhou/171537873.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,18-28万/年,广州广日,,已上市,1000-5000人,,2026-05-14 19:21:01
ai工程师,https://jobs.51job.com/beijing-ftq/171527510.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-3.5万,北京英诺威尔科技,,民营,150-500人,,2026-05-14 19:21:01
AI训练师-语音（英语专八 双休 五险一金）,https://jobs.51job.com/chongqing/171517325.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,6-10.8万/年,重庆逐浪奔永人才科技,,民营,少于50人,,2026-05-14 19:21:23
nlp工程师,https://jobs.51job.com/chongqing/171516994.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,40-50万/年,重庆逐浪奔永人才科技,,民营,少于50人,,2026-05-14 19:21:23
AI算法工程师,https://jobs.51job.com/wuxi/171327740.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2.5万,无锡市日晖纺织科技,,民营,150-500人,,2026-05-14 19:21:23
加速器和自由电子激光物理（博士后）,https://jobs.51job.com/shanghai-pdxq/171515888.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,30-35万/年,中国科学院上海高等研究院,,事业单位,1000-5000人,,2026-05-14 19:21:23
人工智能/大语言模型工程师,https://jobs.51job.com/changzhou-xbq/170474571.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,18-35万/年,常州同惠电子,,已上市,150-500人,,2026-05-14 19:21:23
高级Java开发工程师,https://jobs.51job.com/shanghai-jdq/171495493.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-3.5万,中恒创科（上海）工业智能科技,,民营,,,2026-05-14 19:21:23
AI深度学习工程师,https://jobs.51job.com/nanjing-glq/171493940.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.1-1.5万·15薪,中海建筑有限公司南京,,国企,1000-5000人,,2026-05-14 19:21:23
AI工程师,https://jobs.51job.com/wuhan-jhq/171024900.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-1.8万,武汉兴智联科技服务有限责任公司优创技术,,国企,5000-10000人,,2026-05-14 19:21:23
AI算法工程师（大模型方向）(J10405),https://jobs.51job.com/guangzhou-hpq/171476659.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万·15薪,广州市奥威亚电子科技,,国企,500-1000人,,2026-05-14 19:21:23
AI Agent开发工程师,https://jobs.51job.com/shanghai-qpq/171471173.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2.5万,双林,,民营,5000-10000人,,2026-05-14 19:21:23
AI算法工程师,https://jobs.51job.com/kunshan/171463453.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万·14薪,研华科技（中国）,,外资（非欧美）,1000-5000人,,2026-05-14 19:21:23
AI架构主任（Senior）,https://jobs.51job.com/shenzhen-lhq/171459102.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万,华润三九医药,,国企,10000人以上,,2026-05-14 19:21:23
Agent开发工程师,https://jobs.51job.com/guangzhou-hpq/170250651.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.1-1.5万,广东安居宝数码科技,,已上市,1000-5000人,,2026-05-14 19:21:23
软件中级工程师（大模型） (MJ001735),https://jobs.51job.com/wuhan-hsq/171458271.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-2万·14薪,上海保隆汽车科技,,已上市,5000-10000人,,2026-05-14 19:21:23
MPS海外销售经理,https://jobs.51job.com/zhuhai-xzq/171448735.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万,珠海天威飞马打印耗材,,外资（非欧美）,500-1000人,,2026-05-14 19:21:23
AI应用工程师,https://jobs.51job.com/dongguan/171448125.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2万,东莞市奋迈电子,,民营,少于50人,,2026-05-14 19:21:23
软件开发-AI (MJ000251),https://jobs.51job.com/suzhou-gyyq/171428681.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-2万,苏州华兴源创科技,,已上市,1000-5000人,,2026-05-14 19:21:23
AI技术负责人,https://jobs.51job.com/suzhou-gyyq/171424001.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-3万·13薪,苏州一兮生物技术,,外资（非欧美）,50-150人,,2026-05-14 19:21:23
AI应用开发工程师-创新药临床,https://jobs.51job.com/shanghai-xhq/171422327.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,15-30万/年,上海齐鲁制药研究中心,,民营,10000人以上,,2026-05-14 19:21:23
软件开发高级工程师--AI专家,https://jobs.51job.com/kunshan/170037098.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万·13薪,立臻科技（昆山）,,民营,10000人以上,,2026-05-14 19:21:23
AI产品经理,https://jobs.51job.com/chengdu-gxq/171416827.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,6千-1.2万,四川景地基业集团,,民营,150-500人,,2026-05-14 19:21:45
质检员/组长（数据标注）,https://jobs.51job.com/wuhan-hsq/167173222.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,4-6千,武汉楚秀人才科技,,国企,1000-5000人,,2026-05-14 19:21:45
AI应用工程师,https://jobs.51job.com/all/171411427.html?s=sou_sou_soulb&t=0_0&req=91bd7fd36c19f327151189ebcd6e8559,6千-1万,云南盈福贸易,,民营,50-150人,,2026-05-14 19:21:45
python测试开发,https://jobs.51job.com/nanjing-qhq/168970264.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.2万,中博信息技术研究院,,国企,500-1000人,,2026-05-14 19:21:45
资深java开发工程师,https://jobs.51job.com/shanghai-pdxq/168083492.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-2.5万,上海佳依佳信息科技,,民营,50-150人,,2026-05-14 19:21:45
AI技术经理,https://jobs.51job.com/shanghai-pdxq/168666889.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-2.2万,上海佳依佳信息科技,,民营,50-150人,,2026-05-14 19:21:45
Java架构师,https://jobs.51job.com/shanghai-pdxq/168083521.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-2.5万,上海佳依佳信息科技,,民营,50-150人,,2026-05-14 19:21:45
信息技术经理,https://jobs.51job.com/changzhou-wjq/171363755.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-3万,常州孟腾智能装备,,民营,500-1000人,,2026-05-14 19:21:45
服装及美工助理,https://jobs.51job.com/guangzhou-hzq/171361449.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,4.5-5.5千,广州垣烨服装电子商务,,民营,少于50人,,2026-05-14 19:21:45
软件开发工程师-AI应用开发,https://jobs.51job.com/guangzhou-nsq/167795114.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-2万,广船国际,,国企,10000人以上,,2026-05-14 19:21:45
财务数字化经理,https://jobs.51job.com/guangzhou-hpq/164875614.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-2万,广州同程建筑技术,,民营,50-150人,,2026-05-14 19:21:45
AI 应用开发工程师（自动化 Agent 方向）,https://jobs.51job.com/shenzhen-nsq/171348907.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-3.5万,深圳市擎晟科技,,民营,少于50人,,2026-05-14 19:21:45
算法工程师（AI  眼镜）,https://jobs.51job.com/shenzhen-ftq/168723203.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-4万·13薪,深圳禾苗通信科技,,已上市,1000-5000人,,2026-05-14 19:21:45
售前工程师,https://jobs.51job.com/guangzhou-thq/171332500.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,7千-1万,广州鹏捷科技,,民营,50-150人,,2026-05-14 19:21:45
算法工程师（AI应用方向）,https://jobs.51job.com/huizhou/171318117.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-2.4万,惠州亿纬锂能,,已上市,10000人以上,,2026-05-14 19:21:45
AI 应用开发工程师（全栈/业务方向）,https://jobs.51job.com/dongguan-dlz/171071566.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-1.5万,倍科质量技术服务（东莞）,,外资（欧美）,1000-5000人,,2026-05-14 19:21:45
嵌入式底层软件开发工程师（SoC/BSP 方向）,https://jobs.51job.com/dalian/171307060.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-2万,武汉光庭信息技术,,已上市,1000-5000人,,2026-05-14 19:21:45
AI应用开发工程师,https://jobs.51job.com/shanghai-pdxq/152666756.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-2万,慧算基因科技（上海）,,民营,150-500人,,2026-05-14 19:21:45
AI应用工程师,https://jobs.51job.com/zhongshan-nlz/171294096.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-1.5万·14薪,江西志特新材料,,民营,1000-5000人,,2026-05-14 19:21:45
AI应用研发工程师/AI赋能与应用,https://jobs.51job.com/dalian-shkq/171293147.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万,大连厘米文化传播,,民营,50-150人,,2026-05-14 19:21:45
教育产品AI应用研发工程师,https://jobs.51job.com/dalian-shkq/171284196.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万,大连厘米文化传播,,民营,50-150人,,2026-05-14 19:22:07
大模型算法工程师,https://jobs.51job.com/dalian-gxyq/167564906.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-1.8万·13薪,亚信科技（中国）,,已上市,10000人以上,,2026-05-14 19:22:07
IC电子元器件销售（双休+高提成）,https://jobs.51job.com/shenzhen-lgq/143435394.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.2万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
IC销售经理（苏州）,https://jobs.51job.com/suzhou-gyyq/148333052.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
IC销售工程师（苏州）,https://jobs.51job.com/suzhou-gyyq/148332919.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,7千-1.3万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
销售工程师/电子元件,https://jobs.51job.com/shenzhen-lgq/130207347.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.2万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
电子元器件销售工程师,https://jobs.51job.com/shenzhen-lgq/143435784.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.2万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
电子元件销售工程师,https://jobs.51job.com/shenzhen-lgq/114991420.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1万,深圳市汇友迪科技,,民营,50-150人,,2026-05-14 19:22:07
AI算法工程师,https://jobs.51job.com/shenzhen-lhq/164103078.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,3-6万·15薪,东莞民龙电子,,民营,150-500人,,2026-05-14 19:22:07
海外SEO/SEM运营,https://jobs.51job.com/shenzhen-lgq/167725391.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万,深圳市信易科技,,民营,150-500人,,2026-05-14 19:22:07
AI应用工程师 (Java方向),https://jobs.51job.com/shenzhen-ftq/171246713.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2.4万·13薪,新美亚电子（深圳）,,外资（欧美）,1000-5000人,,2026-05-14 19:22:07
资深MCU底层软件工程师,https://jobs.51job.com/shanghai-pdxq/160540043.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,3.5-6.5万·14薪,上海道之科技,,已上市,500-1000人,,2026-05-14 19:22:07
海外市场产品推广专员,https://jobs.51job.com/kunshan/171235738.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-1.8万,米德勒工业自动化（苏州）,,民营,少于50人,,2026-05-14 19:22:07
海外社媒运营,https://jobs.51job.com/shenzhen-nsq/171237188.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万·13薪,衡阳瑞达电源有限公司深圳,,民营,5000-10000人,,2026-05-14 19:22:07
eBay/亚马逊澳洲站 运营专员,https://jobs.51job.com/shenzhen-nsq/171237000.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万·13薪,衡阳瑞达电源有限公司深圳,,民营,5000-10000人,,2026-05-14 19:22:07
独立站运营,https://jobs.51job.com/shenzhen-nsq/171236656.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,8千-1.5万·13薪,衡阳瑞达电源有限公司深圳,,民营,5000-10000人,,2026-05-14 19:22:07
Ai应用工程师,https://jobs.51job.com/shenzhen-nsq/171232843.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.3-2.6万,深圳市航天无线通信技术,,民营,150-500人,,2026-05-14 19:22:07
AI产品经理（企业级）,https://jobs.51job.com/shanghai-mhq/169385784.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1-2万,上海毕科电子,,民营,150-500人,,2026-05-14 19:22:07
Senior AI Engineer,https://jobs.51job.com/tianjin/171224635.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-2万,联想弘扬科技（北京）,,民营,150-500人,,2026-05-14 19:22:07
AI算法工程师,https://jobs.51job.com/dongguan-ncq/169641786.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-2万,广东德尔智慧科技,,民营,500-1000人,,2026-05-14 19:22:07
AI策划师,https://jobs.51job.com/wuhan-jhq/157329415.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,6千-1万,武汉北极光数字科技,,民营,50-150人,,2026-05-14 19:22:29
AI智能体研发工作师,https://jobs.51job.com/guangzhou-hpq/169350612.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,12-19万/年,广东东方思维科技,,国企,150-500人,,2026-05-14 19:22:29
人工智能产品架构师（武汉）,https://jobs.51job.com/wuhan/166597263.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.8-3万,艾普工华科技（武汉）,,民营,150-500人,,2026-05-14 19:22:29
AI 工程师,https://jobs.51job.com/shanghai-ptq/170558950.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-3万,颐海（上海）食品,,已上市,1000-5000人,,2026-05-14 19:22:29
AI经理,https://jobs.51job.com/changzhou-wjq/171165678.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2.5-3.5万,常州华数锦明智能装备技术研究院,,已上市,150-500人,,2026-05-14 19:22:29
AI应用工程师,https://jobs.51job.com/zhangjiagang/171146855.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-2万,江苏豪斯特汽车零部件,,民营,5000-10000人,,2026-05-14 19:22:29
开发工程师 - 机械(第三方派遣合同）,https://jobs.51job.com/shanghai-mhq/171143436.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.4-1.7万,喜利得（上海）,,外资（欧美）,150-500人,,2026-05-14 19:22:29
大语言模型研究员,https://jobs.51job.com/xiamen-jmq/171142248.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,2-3万,云知声智能科技,,已上市,150-500人,,2026-05-14 19:22:29
python开发工程师,https://jobs.51job.com/shenzhen-baq/171142066.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-1.8万,奇宏电子（深圳）,,外资（非欧美）,5000-10000人,,2026-05-14 19:22:29
全栈开发（偏后端）,https://jobs.51job.com/guangzhou-lwq/171141186.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.2-2万,广州时代国际控股,,民营,少于50人,,2026-05-14 19:22:29
AI应用工程师,https://jobs.51job.com/zhangjiagang/171140915.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.6-1.8万,江苏豪斯特汽车零部件,,民营,5000-10000人,,2026-05-14 19:22:29
Java-英文可沟通-双休,https://jobs.51job.com/xian/171129669.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.4-1.8万,深圳市法本信息技术,,已上市,10000人以上,,2026-05-14 19:22:29
AI架构师（新材料行业）,https://jobs.51job.com/shenzhen-lgq/171126825.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万·15薪,深圳好电科技,,民营,150-500人,,2026-05-14 19:22:29
谷歌seo/sem/信息流优化,https://jobs.51job.com/shenzhen-lgq/171120709.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,1.5-3万,深圳市信易科技,,民营,150-500人,,2026-05-14 19:22:29
AI 应用工程师,https://jobs.51job.com/guangzhou-byq/171109140.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,9千-1.2万·13薪,广州维高集团,,民营,1000-5000人,,2026-05-14 19:22:29
大模型应用开发工程师（生物医学智能体方向）,https://jobs.51job.com/guangzhou-hzq/171106159.html?s=sou_sou_soulb&t=0_1&req=91bd7fd36c19f327151189ebcd6e8559,20-35万/年,广州国家实验室,,事业单位,1000-5000人,,2026-05-14 19:22:29
