标题,标题链接,sal,er,er2,er1,字段1,采集时间,抓取时间
Python AI算法工程师,https://jobs.51job.com/hangzhou-xhq/171522632.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.7-3万,凯捷技术咨询（杭州）,,外资（欧美）,150-500人,,2026/5/14 17:14
AI算法工程师,https://jobs.51job.com/hangzhou-scq/171849131.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-4万,浙江中国轻纺城网络,,国企,150-500人,,2026/5/14 17:14
AI推理引擎开发工程师,https://jobs.51job.com/hangzhou-yhq/167652403.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6万,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:14
AI产品经理(J10652),https://jobs.51job.com/hangzhou-xhq/171262512.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.8-3.5万·14薪,苏州联讯仪器,,民营,1000-5000人,,2026/5/14 17:14
AI软件开发工程师,https://jobs.51job.com/hangzhou-gsq/170815793.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-1.6万·13薪,杭州益幕信息技术咨询,,合资,少于50人,,2026/5/14 17:14
AI算法工程师,https://jobs.51job.com/hangzhou-gsq/171639504.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万,香港理工大学深圳研究院,,外资（非欧美）,50-150人,,2026/5/14 17:14
AI编译器工程师,https://jobs.51job.com/hangzhou-yhq/170187778.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6万·16薪,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:14
后端开发工程师（AI方向）-飞书业务服务,https://jobs.51job.com/hangzhou/170862044.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-5万,字节跳动,,民营,10000人以上,,2026/5/14 17:14
资深AI全栈工程师,https://jobs.51job.com/hangzhou-bjq/170701336.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2-4万·14薪,中控技术,,已上市,5000-10000人,,2026/5/14 17:14
AI推理引擎研发工程师,https://jobs.51job.com/hangzhou-yhq/171783407.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,3-6万·15薪,进迭时空（杭州）科技,,民营,150-500人,,2026/5/14 17:15
